long,lat,year,month,temp
-136,56,1911,3,4.23
-136,56,1911,4,4.79
-136,56,1911,5,5.65
-136,56,1911,6,8.91
-136,58,1911,3,3.96
-136,58,1911,4,4.67
-136,58,1911,5,5.58
-136,58,1911,6,8.96
-134,48,1911,3,6.18
-134,48,1911,4,6.18
-134,48,1911,5,6.86
-134,48,1911,6,9.46
-134,50,1911,3,5.67
-134,50,1911,4,5.78
-134,50,1911,5,6.46
-134,50,1911,6,9.23
-134,52,1911,3,5.33
-134,52,1911,4,5.6
-134,52,1911,5,6.28
-134,52,1911,6,9.19
-134,54,1911,3,4.94
-134,54,1911,4,5.37
-134,54,1911,5,6.08
-134,54,1911,6,9.12
-134,56,1911,3,4.48
-134,56,1911,4,5.09
-134,56,1911,5,5.84
-134,56,1911,6,9
-134,58,1911,3,4.09
-134,58,1911,4,4.83
-134,58,1911,5,5.6
-134,58,1911,6,8.88
-132,48,1911,3,6.42
-132,48,1911,4,6.52
-132,48,1911,5,7.23
-132,48,1911,6,9.75
-132,50,1911,3,5.97
-132,50,1911,4,6.2
-132,50,1911,5,6.9
-132,50,1911,6,9.58
-132,52,1911,3,5.6
-132,52,1911,4,5.99
-132,52,1911,5,6.71
-132,52,1911,6,9.55
-132,54,1911,3,5.12
-132,54,1911,4,5.67
-132,54,1911,5,6.43
-132,54,1911,6,9.45
-132,56,1911,3,4.67
-132,56,1911,4,5.33
-132,56,1911,5,6.07
-132,56,1911,6,9.21
-130,48,1911,3,6.68
-130,48,1911,4,6.94
-130,48,1911,5,7.73
-130,48,1911,6,10.09
-130,50,1911,3,6.28
-130,50,1911,4,6.67
-130,50,1911,5,7.44
-130,50,1911,6,9.95
-130,52,1911,3,5.86
-130,52,1911,4,6.39
-130,52,1911,5,7.19
-130,52,1911,6,9.9
-130,54,1911,3,5.33
-130,54,1911,4,5.98
-130,54,1911,5,6.79
-130,54,1911,6,9.73
-128,48,1911,3,6.97
-128,48,1911,4,7.46
-128,48,1911,5,8.37
-128,48,1911,6,10.51
-128,50,1911,3,6.59
-128,50,1911,4,7.2
-128,50,1911,5,8.09
-128,50,1911,6,10.35
-128,52,1911,3,6.15
-128,52,1911,4,6.81
-128,52,1911,5,7.67
-128,52,1911,6,10.16
-126,48,1911,3,7.19
-126,48,1911,4,7.95
-126,48,1911,5,9.03
-126,48,1911,6,10.94
-126,50,1911,3,6.78
-126,50,1911,4,7.68
-126,50,1911,5,8.77
-126,50,1911,6,10.76
-166,48,1912,3,4.54
-166,48,1912,4,4.9
-166,48,1912,5,4.87
-166,48,1912,6,6.18
-166,50,1912,3,3.67
-166,50,1912,4,4.28
-166,50,1912,5,4.49
-166,50,1912,6,6.13
-166,52,1912,3,3.16
-166,52,1912,4,4.05
-166,52,1912,5,4.58
-166,52,1912,6,6.48
-166,54,1912,3,2.54
-166,54,1912,4,3.67
-166,54,1912,5,4.5
-166,54,1912,6,6.67
-166,56,1912,3,1.2
-166,56,1912,4,2.62
-166,56,1912,5,3.74
-166,56,1912,6,6.3
-166,58,1912,3,-0.49
-166,58,1912,4,1.44
-166,58,1912,5,2.86
-166,58,1912,6,5.87
-164,48,1912,3,4.77
-164,48,1912,4,5.07
-164,48,1912,5,5.08
-164,48,1912,6,6.43
-164,50,1912,3,3.83
-164,50,1912,4,4.35
-164,50,1912,5,4.65
-164,50,1912,6,6.31
-164,52,1912,3,3.21
-164,52,1912,4,4.01
-164,52,1912,5,4.71
-164,52,1912,6,6.67
-164,54,1912,3,2.48
-164,54,1912,4,3.52
-164,54,1912,5,4.6
-164,54,1912,6,6.91
-164,56,1912,3,1.13
-164,56,1912,4,2.4
-164,56,1912,5,3.82
-164,56,1912,6,6.59
-164,58,1912,3,-0.28
-164,58,1912,4,1.32
-164,58,1912,5,3.06
-164,58,1912,6,6.32
-162,48,1912,3,4.96
-162,48,1912,4,5.18
-162,48,1912,5,5.24
-162,48,1912,6,6.67
-162,50,1912,3,3.96
-162,50,1912,4,4.39
-162,50,1912,5,4.78
-162,50,1912,6,6.47
-162,52,1912,3,3.28
-162,52,1912,4,3.99
-162,52,1912,5,4.82
-162,52,1912,6,6.84
-162,54,1912,3,2.5
-162,54,1912,4,3.46
-162,54,1912,5,4.74
-162,54,1912,6,7.14
-162,56,1912,3,1.15
-162,56,1912,4,2.3
-162,56,1912,5,3.97
-162,56,1912,6,6.86
-162,58,1912,3,-0.19
-162,58,1912,4,1.19
-162,58,1912,5,3.17
-162,58,1912,6,6.61
-160,48,1912,3,5.15
-160,48,1912,4,5.3
-160,48,1912,5,5.43
-160,48,1912,6,6.94
-160,50,1912,3,4.09
-160,50,1912,4,4.46
-160,50,1912,5,4.91
-160,50,1912,6,6.63
-160,52,1912,3,3.37
-160,52,1912,4,4.01
-160,52,1912,5,4.92
-160,52,1912,6,6.94
-160,54,1912,3,2.65
-160,54,1912,4,3.52
-160,54,1912,5,4.89
-160,54,1912,6,7.28
-160,56,1912,3,1.33
-160,56,1912,4,2.36
-160,56,1912,5,4.15
-160,56,1912,6,7.05
-160,58,1912,3,-0.02
-160,58,1912,4,1.13
-160,58,1912,5,3.25
-160,58,1912,6,6.67
-158,48,1912,3,5.41
-158,48,1912,4,5.52
-158,48,1912,5,5.7
-158,48,1912,6,7.28
-158,50,1912,3,4.29
-158,50,1912,4,4.61
-158,50,1912,5,5.1
-158,50,1912,6,6.84
-158,52,1912,3,3.51
-158,52,1912,4,4.08
-158,52,1912,5,5.02
-158,52,1912,6,7.03
-158,54,1912,3,2.88
-158,54,1912,4,3.67
-158,54,1912,5,5.07
-158,54,1912,6,7.41
-158,56,1912,3,1.84
-158,56,1912,4,2.76
-158,56,1912,5,4.57
-158,56,1912,6,7.35
-158,58,1912,3,0.69
-158,58,1912,4,1.69
-158,58,1912,5,3.81
-158,58,1912,6,7.03
-156,48,1912,3,5.76
-156,48,1912,4,5.82
-156,48,1912,5,6
-156,48,1912,6,7.63
-156,50,1912,3,4.61
-156,50,1912,4,4.88
-156,50,1912,5,5.37
-156,50,1912,6,7.12
-156,52,1912,3,3.71
-156,52,1912,4,4.24
-156,52,1912,5,5.18
-156,52,1912,6,7.19
-156,54,1912,3,3.15
-156,54,1912,4,3.91
-156,54,1912,5,5.3
-156,54,1912,6,7.61
-156,56,1912,3,2.53
-156,56,1912,4,3.44
-156,56,1912,5,5.18
-156,56,1912,6,7.82
-156,58,1912,3,1.88
-156,58,1912,4,2.87
-156,58,1912,5,4.83
-156,58,1912,6,7.75
-154,48,1912,3,6.04
-154,48,1912,4,6.05
-154,48,1912,5,6.2
-154,48,1912,6,7.85
-154,50,1912,3,4.86
-154,50,1912,4,5.09
-154,50,1912,5,5.55
-154,50,1912,6,7.3
-154,52,1912,3,3.86
-154,52,1912,4,4.36
-154,52,1912,5,5.27
-154,52,1912,6,7.28
-154,54,1912,3,3.26
-154,54,1912,4,4.02
-154,54,1912,5,5.38
-154,54,1912,6,7.69
-154,56,1912,3,2.93
-154,56,1912,4,3.86
-154,56,1912,5,5.53
-154,56,1912,6,8.1
-154,58,1912,3,2.59
-154,58,1912,4,3.62
-154,58,1912,5,5.43
-154,58,1912,6,8.2
-152,48,1912,3,6.33
-152,48,1912,4,6.29
-152,48,1912,5,6.41
-152,48,1912,6,8.06
-152,50,1912,3,5.12
-152,50,1912,4,5.31
-152,50,1912,5,5.72
-152,50,1912,6,7.48
-152,52,1912,3,4
-152,52,1912,4,4.49
-152,52,1912,5,5.34
-152,52,1912,6,7.37
-152,54,1912,3,3.24
-152,54,1912,4,4.03
-152,54,1912,5,5.35
-152,54,1912,6,7.7
-152,56,1912,3,2.91
-152,56,1912,4,3.9
-152,56,1912,5,5.53
-152,56,1912,6,8.16
-152,58,1912,3,2.63
-152,58,1912,4,3.73
-152,58,1912,5,5.51
-152,58,1912,6,8.36
-150,48,1912,3,6.61
-150,48,1912,4,6.52
-150,48,1912,5,6.59
-150,48,1912,6,8.24
-150,50,1912,3,5.38
-150,50,1912,4,5.54
-150,50,1912,5,5.89
-150,50,1912,6,7.66
-150,52,1912,3,4.21
-150,52,1912,4,4.69
-150,52,1912,5,5.46
-150,52,1912,6,7.51
-150,54,1912,3,3.29
-150,54,1912,4,4.12
-150,54,1912,5,5.35
-150,54,1912,6,7.77
-150,56,1912,3,2.83
-150,56,1912,4,3.92
-150,56,1912,5,5.5
-150,56,1912,6,8.26
-150,58,1912,3,2.63
-150,58,1912,4,3.84
-150,58,1912,5,5.63
-150,58,1912,6,8.68
-148,48,1912,3,6.87
-148,48,1912,4,6.77
-148,48,1912,5,6.81
-148,48,1912,6,8.43
-148,50,1912,3,5.65
-148,50,1912,4,5.81
-148,50,1912,5,6.1
-148,50,1912,6,7.88
-148,52,1912,3,4.47
-148,52,1912,4,4.95
-148,52,1912,5,5.63
-148,52,1912,6,7.7
-148,54,1912,3,3.44
-148,54,1912,4,4.3
-148,54,1912,5,5.42
-148,54,1912,6,7.91
-148,56,1912,3,2.84
-148,56,1912,4,4
-148,56,1912,5,5.53
-148,56,1912,6,8.44
-148,58,1912,3,2.6
-148,58,1912,4,3.96
-148,58,1912,5,5.8
-148,58,1912,6,9.11
-146,48,1912,3,7.12
-146,48,1912,4,7.05
-146,48,1912,5,7.08
-146,48,1912,6,8.66
-146,50,1912,3,5.93
-146,50,1912,4,6.11
-146,50,1912,5,6.38
-146,50,1912,6,8.15
-146,52,1912,3,4.77
-146,52,1912,4,5.27
-146,52,1912,5,5.88
-146,52,1912,6,7.99
-146,54,1912,3,3.69
-146,54,1912,4,4.57
-146,54,1912,5,5.6
-146,54,1912,6,8.16
-146,56,1912,3,2.94
-146,56,1912,4,4.17
-146,56,1912,5,5.62
-146,56,1912,6,8.69
-146,58,1912,3,2.57
-146,58,1912,4,4.05
-146,58,1912,5,5.88
-146,58,1912,6,9.43
-142,48,1912,3,7.53
-142,48,1912,4,7.59
-142,48,1912,5,7.73
-142,48,1912,6,9.22
-142,50,1912,3,6.47
-142,50,1912,4,6.76
-142,50,1912,5,7.11
-142,50,1912,6,8.91
-142,52,1912,3,5.39
-142,52,1912,4,5.99
-142,52,1912,5,6.65
-142,52,1912,6,8.9
-142,54,1912,3,4.3
-142,54,1912,4,5.25
-142,54,1912,5,6.28
-142,54,1912,6,9.08
-142,56,1912,3,3.46
-142,56,1912,4,4.73
-142,56,1912,5,6.14
-142,56,1912,6,9.47
-142,58,1912,3,3.03
-142,58,1912,4,4.58
-142,58,1912,5,6.33
-142,58,1912,6,10.12
-140,48,1912,3,7.66
-140,48,1912,4,7.81
-140,48,1912,5,8.09
-140,48,1912,6,9.55
-140,50,1912,3,6.66
-140,50,1912,4,7.04
-140,50,1912,5,7.52
-140,50,1912,6,9.36
-140,52,1912,3,5.65
-140,52,1912,4,6.32
-140,52,1912,5,7.1
-140,52,1912,6,9.44
-140,54,1912,3,4.63
-140,54,1912,4,5.63
-140,54,1912,5,6.77
-140,54,1912,6,9.66
-140,56,1912,3,3.83
-140,56,1912,4,5.14
-140,56,1912,5,6.63
-140,56,1912,6,10.05
-140,58,1912,3,3.37
-140,58,1912,4,4.93
-140,58,1912,5,6.7
-140,58,1912,6,10.53
-138,48,1912,3,7.66
-138,48,1912,4,7.9
-138,48,1912,5,8.36
-138,48,1912,6,9.85
-138,50,1912,3,6.72
-138,50,1912,4,7.17
-138,50,1912,5,7.83
-138,50,1912,6,9.73
-138,52,1912,3,5.8
-138,52,1912,4,6.54
-138,52,1912,5,7.49
-138,52,1912,6,9.89
-138,54,1912,3,4.91
-138,54,1912,4,5.96
-138,54,1912,5,7.23
-138,54,1912,6,10.17
-138,56,1912,3,4.18
-138,56,1912,4,5.52
-138,56,1912,5,7.12
-138,56,1912,6,10.54
-138,58,1912,3,3.73
-138,58,1912,4,5.31
-138,58,1912,5,7.13
-138,58,1912,6,10.9
-136,48,1912,3,7.66
-136,48,1912,4,7.98
-136,48,1912,5,8.68
-136,48,1912,6,10.23
-136,50,1912,3,6.84
-136,50,1912,4,7.36
-136,50,1912,5,8.25
-136,50,1912,6,10.21
-136,52,1912,3,6.07
-136,52,1912,4,6.86
-136,52,1912,5,8
-136,52,1912,6,10.43
-136,54,1912,3,5.26
-136,54,1912,4,6.36
-136,54,1912,5,7.78
-136,54,1912,6,10.69
-136,56,1912,3,4.5
-136,56,1912,4,5.88
-136,56,1912,5,7.58
-136,56,1912,6,10.92
-136,58,1912,3,3.99
-136,58,1912,4,5.6
-136,58,1912,5,7.49
-136,58,1912,6,11.11
-134,48,1912,3,7.71
-134,48,1912,4,8.12
-134,48,1912,5,9.06
-134,48,1912,6,10.72
-134,50,1912,3,7
-134,50,1912,4,7.58
-134,50,1912,5,8.72
-134,50,1912,6,10.76
-134,52,1912,3,6.33
-134,52,1912,4,7.17
-134,52,1912,5,8.54
-134,52,1912,6,10.99
-134,54,1912,3,5.55
-134,54,1912,4,6.68
-134,54,1912,5,8.29
-134,54,1912,6,11.16
-134,56,1912,3,4.74
-134,56,1912,4,6.16
-134,56,1912,5,7.97
-134,56,1912,6,11.2
-134,58,1912,3,4.14
-134,58,1912,4,5.75
-134,58,1912,5,7.7
-134,58,1912,6,11.2
-132,48,1912,3,7.79
-132,48,1912,4,8.27
-132,48,1912,5,9.46
-132,48,1912,6,11.24
-132,50,1912,3,7.18
