"year_f","age","age_f","period","sex","n","mean_yday","sd_yday","mean_fl","sd_fl","se_fl","up","lo"
"1927","63","6[3]","Gilbert-Clemens","female",30,206.8,15.7860698085369,654.5,32.9322711448606,6.01258259197222,666.284661880266,642.715338119734
"1927","63","6[3]","Gilbert-Clemens","male",45,213.488888888889,11.7059080309168,681.133333333333,32.7314138794134,4.87931109560323,690.696783080716,671.569883585951
"1928","42","4[2]","Gilbert-Clemens","female",261,198.126436781609,13.5517281875791,580.226053639847,19.9294585625679,1.23360251582053,582.643914570855,577.808192708839
"1928","42","4[2]","Gilbert-Clemens","male",264,197.276515151515,12.7873533047184,600.140151515152,22.8021590594319,1.40337587808669,602.890768236201,597.389534794102
"1928","52","5[2]","Gilbert-Clemens","female",48,193.5,12.8045869440803,622.1875,18.8901147738761,2.72655321243008,627.531544296363,616.843455703637
"1928","52","5[2]","Gilbert-Clemens","male",44,192.590909090909,13.7287987614869,642.522727272727,25.8506341394609,3.89712972878835,650.161101541152,634.884353004302
"1928","53","5[3]","Gilbert-Clemens","female",583,200.353344768439,16.4708015617151,606.716981132075,19.8374971178752,0.821585184843846,608.327288094369,605.106674169782
"1928","53","5[3]","Gilbert-Clemens","male",430,202.939534883721,15.8658734136228,629.427906976744,22.3568883080026,1.07814489125998,631.541070963614,627.314742989875
"1928","63","6[3]","Gilbert-Clemens","female",19,203.578947368421,11.4422015629942,647.052631578947,33.2573695829804,7.62976384948394,662.006968723936,632.098294433959
"1928","63","6[3]","Gilbert-Clemens","male",31,209.935483870968,14.6581842528806,694.677419354839,27.186255224254,4.88279558052913,704.247698692676,685.107140017002
"1929","42","4[2]","Gilbert-Clemens","female",252,203.944444444444,12.0290521863893,582.261904761905,19.4139960895791,1.22296680016683,584.658919690232,579.864889833578
"1929","42","4[2]","Gilbert-Clemens","male",234,204.858974358974,11.1440713763212,596.854700854701,24.1560609006582,1.57913110133323,599.949797813314,593.759603896088
"1929","52","5[2]","Gilbert-Clemens","female",91,208.89010989011,11.1887349592253,625.142857142857,19.723968176686,2.06763367596056,629.19541914774,621.090295137974
"1929","52","5[2]","Gilbert-Clemens","male",96,210.114583333333,10.1316282181531,648.270833333333,23.5553007406498,2.40410281468311,652.982874850112,643.558791816555
"1929","53","5[3]","Gilbert-Clemens","female",668,214.34880239521,11.1143523944628,618.02245508982,19.6322510711181,0.75959459928872,619.511260504426,616.533649675215
"1929","53","5[3]","Gilbert-Clemens","male",528,212.67803030303,10.7660356680939,641.666666666667,22.067488915737,0.960364185819958,643.548980470874,639.78435286246
"1929","63","6[3]","Gilbert-Clemens","female",65,217.2,9.21649336787045,652.938461538462,30.5746406985618,3.79231744420653,660.371403729106,645.505519347817
"1929","63","6[3]","Gilbert-Clemens","male",47,216.63829787234,9.80112134648243,676.382978723404,23.2459002383397,3.39076304062633,683.028874283032,669.737083163777
"1930","42","4[2]","Gilbert-Clemens","female",275,201.52,11.7880677019597,589.003636363636,22.1816485900813,1.33760373826937,591.625339690644,586.381933036628
"1930","42","4[2]","Gilbert-Clemens","male",269,198.973977695167,10.4425967927341,611.289962825279,22.5925445782674,1.3774917544346,613.989846663971,608.590078986587
"1930","52","5[2]","Gilbert-Clemens","female",168,196.517857142857,10.7223942798818,629.791666666667,26.1572522698273,2.01807582551894,633.747095284684,625.83623804865
"1930","52","5[2]","Gilbert-Clemens","male",126,193.436507936508,10.2773506560755,656.134920634921,26.1687915424777,2.33130124232998,660.704271069887,651.565570199954
"1930","53","5[3]","Gilbert-Clemens","female",628,218.603503184713,15.3345609535437,628.59872611465,23.193275677492,0.925512456302412,630.412730529002,626.784721700297
"1930","53","5[3]","Gilbert-Clemens","male",416,213.973557692308,15.3960336884674,656.576923076923,25.5133104151746,1.2508929583012,659.028673275193,654.125172878653
"1930","63","6[3]","Gilbert-Clemens","female",20,200.2,14.3585661210523,666.85,24.3338079742221,5.44120487817871,677.51476156123,656.18523843877
"1930","63","6[3]","Gilbert-Clemens","male",34,202.529411764706,13.7405290668676,691.235294117647,24.9387842326322,4.27696621107072,699.618147891346,682.852440343949
"1931","42","4[2]","Gilbert-Clemens","female",87,208.632183908046,10.8157023474257,590.252873563218,22.2654275706179,2.38710439919825,594.931598185647,585.57414894079
"1931","42","4[2]","Gilbert-Clemens","male",85,206.082352941176,12.1774692076195,607.164705882353,25.3606590058319,2.75074968435897,612.556175263696,601.773236501009
"1931","52","5[2]","Gilbert-Clemens","female",140,199.292857142857,11.6843967952417,637.964285714286,25.1726157921075,2.12747433393459,642.134135408797,633.794436019774
"1931","52","5[2]","Gilbert-Clemens","male",155,196.451612903226,11.2988871698833,657.709677419355,24.5237673590271,1.96979639602787,661.57047835557,653.84887648314
"1931","53","5[3]","Gilbert-Clemens","female",659,205.092564491654,15.6084963207591,628.752655538695,22.1614922073937,0.863289169089025,630.44470231011,627.06060876728
"1931","53","5[3]","Gilbert-Clemens","male",492,202.430894308943,14.4336850304084,648.093495934959,24.1092092328002,1.08692709405298,650.223873039303,645.963118830615
"1931","63","6[3]","Gilbert-Clemens","female",28,215.035714285714,10.1232484277607,671.464285714286,31.7320753051956,5.99679856010868,683.218010892099,659.710560536473
"1931","63","6[3]","Gilbert-Clemens","male",68,213.970588235294,12.1765257258913,701.132352941176,30.4331439568352,3.69056079569586,708.36585210074,693.898853781613
"1932","42","4[2]","Gilbert-Clemens","female",225,201.586666666667,10.8612515721848,592.004444444444,21.9460576059675,1.4630705070645,594.872062638291,589.136826250598
"1932","42","4[2]","Gilbert-Clemens","male",215,201.920930232558,9.84308092627903,615.641860465116,23.0253236509886,1.57031403944498,618.719675982428,612.564044947804
"1932","52","5[2]","Gilbert-Clemens","female",35,204.257142857143,12.4436207543862,624.028571428571,27.9489931569528,4.72424209639537,633.288085937506,614.769056919637
"1932","52","5[2]","Gilbert-Clemens","male",32,206.53125,10.6073145031031,650.59375,28.4467350300692,5.02871981059471,660.450040828766,640.737459171234
"1932","53","5[3]","Gilbert-Clemens","female",541,210.818853974122,14.3970320815877,632.365988909427,23.5884283540615,1.014145745809,634.353714571213,630.378263247641
"1932","53","5[3]","Gilbert-Clemens","male",438,210.751141552511,14.2023521458312,656.58904109589,26.4045289176336,1.26165719403333,659.061889196196,654.116192995585
"1932","63","6[3]","Gilbert-Clemens","female",34,219.294117647059,11.3818819655033,671.5,33.1198466546004,5.68000684140082,682.632813409146,660.367186590854
"1932","63","6[3]","Gilbert-Clemens","male",82,214.59756097561,11.3603814012847,701.59756097561,36.9797608162506,4.08373142082136,709.60167456042,693.5934473908
"1933","42","4[2]","Gilbert-Clemens","female",292,191.404109589041,12.3157646394617,590.037671232877,22.6900969676229,1.32783748954102,592.640232712377,587.435109753376
