"retYr","pdo","temp","pc2","alpi","pinkCatch","age","predFL","lwr","upr"
1973,-0.73,6.41839868421053,-0.00445499999999999,-1.62,19601020,"1.3",634.631404393729,627.259300362272,642.003508425185
1974,-0.5025,6.39566710526316,0.5354645,1.04,19717160,"1.3",634.501013105147,626.463340517557,642.538685692738
1975,-0.9975,6.17010921052632,0.23962275,-1.84,25967540,"1.3",633.724641645114,626.476451934451,640.972831355777
1976,-0.8,6.03363815789474,-0.04394325,-1.12,49501700,"1.3",633.118305869557,626.787895002207,639.448716736907
1977,0.4375,6.89376315789474,-0.640759,3.03,57173700,"1.3",637.41126999636,629.981407680272,644.841132312448
1978,0.92,6.89870657894737,-0.87909275,2.32,107629260,"1.3",637.338931664469,629.07414449025,645.603718838688
1979,0.6125,7.22344342105263,0.0467065,-0.99,100271200,"1.3",629.926251733744,624.309843284976,635.542660182512
1980,0.89,6.74428815789474,-0.67495825,1.67,126563930,"1.3",633.907954465078,626.285331604885,641.530577325271
1960,0.3575,6.56652763157895,-1.19397875,-0.35,32158610,"2.2",598.775963846505,588.518090903176,609.033836789835
1961,-0.06,6.78894473684211,-1.17328925,2.92,43011540,"2.2",598.258161183184,588.301045310897,608.215277055471
1962,-1.265,7.01773026315789,0.99415825,-1.63,87727670,"2.2",596.013937544252,588.02143369683,604.006441391674
1963,-0.62,7.3499,1.166909,2.32,68551300,"2.2",596.953782185337,587.915521746618,605.992042624056
1964,-1.0325,6.71308026315789,0.77146825,0.74,90581520,"2.2",595.87934315132,588.866664493793,602.892021808846
1965,-0.2,6.60620394736842,1.082718,-1.62,40694670,"2.2",598.301090002241,589.081307365693,607.520872638789
1966,-0.4,6.66396184210526,0.55501775,-1.88,80102600,"2.2",596.407942994583,590.07338679606,602.742499193106
1967,-1.1225,7.13386315789474,1.15974825,-0.17,13118440,"2.2",599.606103568205,589.199278860891,610.012928275518
1968,-0.555,6.95113026315789,0.73631575,-0.4,89453210,"2.2",595.936990182799,589.054824482454,602.819155883145
1969,-0.0625,6.27850263157895,-0.12274875,-2.72,51534760,"2.2",597.821548581199,591.64163447541,604.001462686988
1970,0.3325,6.82109868421053,-0.38517225,3.69,62294700,"2.2",597.308932135402,590.859252403927,603.758611866878
1971,-1.5925,5.93664078947368,0.92797725,-2.25,47056750,"2.2",598.002287781098,589.628809553602,606.375766008594
1972,-1.795,6.24496052631579,1.70403675,-4.51,31840770,"2.2",598.699495865833,586.146558187394,611.252433544271
1973,-0.73,6.41839868421053,-0.00445499999999999,-1.62,19601020,"2.2",599.339245140748,592.134476924699,606.544013356797
1974,-0.5025,6.39566710526316,0.5354645,1.04,19717160,"2.2",599.316577862871,591.416183972254,607.216971753488
1975,-0.9975,6.17010921052632,0.23962275,-1.84,25967540,"2.2",599.030421155526,591.951516476506,606.109325834547
1976,-0.8,6.03363815789474,-0.04394325,-1.12,49501700,"2.2",597.916982921501,591.746803133596,604.087162709405
1977,0.4375,6.89376315789474,-0.640759,3.03,57173700,"2.2",597.563869167984,590.189398386028,604.93833994994
1978,0.92,6.89870657894737,-0.87909275,2.32,107629260,"2.2",595.06662005997,586.824583997455,603.308656122485
1979,0.6125,7.22344342105263,0.0467065,-0.99,100271200,"2.2",595.415458554461,589.950928339963,600.87998876896
1980,0.89,6.74428815789474,-0.67495825,1.67,126563930,"2.2",594.08167123055,586.483661048315,601.679681412785
1960,0.3575,6.56652763157895,-1.19397875,-0.35,32158610,"2.3",666.614159804775,656.110877088979,677.11744252057
1961,-0.06,6.78894473684211,-1.17328925,2.92,43011540,"2.3",665.065979172049,654.865482147934,675.266476196164
1962,-1.265,7.01773026315789,0.99415825,-1.63,87727670,"2.3",648.43527451739,640.349829328278,656.520719706502
1963,-0.62,7.3499,1.166909,2.32,68551300,"2.3",652.59155322339,643.409315250604,661.773791196175
1964,-1.0325,6.71308026315789,0.77146825,0.74,90581520,"2.3",645.960041279257,638.853925195032,653.066157363483
