"retYr","pdo","temp","pc2","alpi","pinkCatch","age","predFL","lwr","upr"
1975,-0.9975,6.17010921052632,0.23962275,-1.84,25967540,"2.2",630.721177329623,623.634263741395,637.808090917851
1976,-0.8,6.03363815789474,-0.04394325,-1.12,49501700,"2.2",630.748448936648,622.717980728899,638.778917144396
1977,0.4375,6.89376315789474,-0.640759,3.03,57173700,"2.2",631.904981151066,626.692667957758,637.117294344374
1978,0.92,6.89870657894737,-0.87909275,2.32,107629260,"2.2",631.921619232684,626.697076498396,637.146161966972
1979,0.6125,7.22344342105263,0.0467065,-0.99,100271200,"2.2",633.230348384451,626.572458674547,639.888238094355
1980,0.89,6.74428815789474,-0.67495825,1.67,126563930,"2.2",631.455010409537,626.443492836914,636.46652798216
1960,0.3575,6.56652763157895,-1.19397875,-0.35,32158610,"2.3",675.901115485681,670.544734735407,681.257496235954
1961,-0.06,6.78894473684211,-1.17328925,2.92,43011540,"2.3",678.273455873915,673.084537176258,683.462374571573
1962,-1.265,7.01773026315789,0.99415825,-1.63,87727670,"2.3",679.814128496582,674.057686746952,685.570570246212
1963,-0.62,7.3499,1.166909,2.32,68551300,"2.3",680.737620308815,673.117094681002,688.358145936628
1964,-1.0325,6.71308026315789,0.77146825,0.74,90581520,"2.3",677.564760075171,672.401376509343,682.728143640998
1965,-0.2,6.60620394736842,1.082718,-1.62,40694670,"2.3",676.390436633135,671.117528946479,681.663344319792
1966,-0.4,6.66396184210526,0.55501775,-1.88,80102600,"2.3",677.050897150649,671.858283505892,682.243510795405
1967,-1.1225,7.13386315789474,1.15974825,-0.17,13118440,"2.3",680.287804552579,673.99748302481,686.578126080347
1968,-0.555,6.95113026315789,0.73631575,-0.4,89453210,"2.3",679.453805670467,673.933732466866,684.973878874068
1969,-0.0625,6.27850263157895,-0.12274875,-2.72,51534760,"2.3",671.493466558928,664.899183602424,678.087749515432
1970,0.3325,6.82109868421053,-0.38517225,3.69,62294700,"2.3",678.543138848479,673.317854173238,683.76842352372
1971,-1.5925,5.93664078947368,0.92797725,-2.25,47056750,"2.3",664.672019922564,655.479956891828,673.864082953299
1972,-1.795,6.24496052631579,1.70403675,-4.51,31840770,"2.3",670.890442919074,664.087879617753,677.693006220395
1973,-0.73,6.41839868421053,-0.00445499999999999,-1.62,19601020,"2.3",673.816501954083,667.954648426854,679.678355481311
1974,-0.5025,6.39566710526316,0.5354645,1.04,19717160,"2.3",673.461303605458,667.496327461323,679.426279749592
1975,-0.9975,6.17010921052632,0.23962275,-1.84,25967540,"2.3",669.486761356942,662.178582483963,676.794940229921
1976,-0.8,6.03363815789474,-0.04394325,-1.12,49501700,"2.3",666.743772584211,658.38478661637,675.102758552052
1977,0.4375,6.89376315789474,-0.640759,3.03,57173700,"2.3",679.086893915384,673.725240384773,684.448547445994
1978,0.92,6.89870657894737,-0.87909275,2.32,107629260,"2.3",679.120642980851,673.747058621641,684.494227340061
